kodeKec,kodeKecDagri,namaKec,kodeKabKot,kodeKabKotDagri,namaKabKot,kodeProv,kodeProvDagri,namaProv
060611,110507,ARONGAN LAMBALEK,060600,1105,KAB. ACEH BARAT,060000,11,ACEH
060610,110506,BUBON,060600,1105,KAB. ACEH BARAT,060000,11,ACEH
060605,110501,JOHAN PAHLAWAN,060600,1105,KAB. ACEH BARAT,060000,11,ACEH
060608,110502,KAWAY XVI,060600,1105,KAB. ACEH BARAT,060000,11,ACEH
060612,110509,MEUREUBO,060600,1105,KAB. ACEH BARAT,060000,11,ACEH
060613,110508,PANTEE CEUREUMEN,060600,1105,KAB. ACEH BARAT,060000,11,ACEH
060616,110512,PANTON REU,060600,1105,KAB. ACEH BARAT,060000,11,ACEH
060606,110505,SAMATIGA,060600,1105,KAB. ACEH BARAT,060000,11,ACEH
060609,110503,SUNGAI MAS,060600,1105,KAB. ACEH BARAT,060000,11,ACEH
060607,110504,WOYLA,060600,1105,KAB. ACEH BARAT,060000,11,ACEH
060614,110510,WOYLA BARAT,060600,1105,KAB. ACEH BARAT,060000,11,ACEH
060615,110511,WOYLA TIMUR,060600,1105,KAB. ACEH BARAT,060000,11,ACEH
061706,111206,BABAHROT,061700,1112,KAB. ACEH BARAT DAYA,060000,11,ACEH
061703,111201,BLANGPIDIE,061700,1112,KAB. ACEH BARAT DAYA,060000,11,ACEH
061709,111208,JEUMPA,061700,1112,KAB. ACEH BARAT DAYA,060000,11,ACEH
061705,111205,KUALA BATEE,061700,1112,KAB. ACEH BARAT DAYA,060000,11,ACEH
061707,111209,LEMBAH SABIL,061700,1112,KAB. ACEH BARAT DAYA,060000,11,ACEH
061701,111203,MANGGENG,061700,1112,KAB. ACEH BARAT DAYA,060000,11,ACEH
061708,111207,SETIA,061700,1112,KAB. ACEH BARAT DAYA,060000,11,ACEH
061704,111204,SUSOH,061700,1112,KAB. ACEH BARAT DAYA,060000,11,ACEH
061702,111202,TANGAN-TANGAN,061700,1112,KAB. ACEH BARAT DAYA,060000,11,ACEH
060118,110620,BAITUSSALAM,060100,1106,KAB. ACEH BESAR,060000,11,ACEH
060123,110623,BLANG BINTANG,060100,1106,KAB. ACEH BESAR,060000,11,ACEH
060111,110607,DARUL IMARAH,060100,1106,KAB. ACEH BESAR,060000,11,ACEH
060122,110619,DARUL KAMAL,060100,1106,KAB. ACEH BESAR,060000,11,ACEH
060106,110612,DARUSSALAM,060100,1106,KAB. ACEH BESAR,060000,11,ACEH
060103,110603,INDRAPURI,060100,1106,KAB. ACEH BESAR,060000,11,ACEH
060109,110610,INGIN JAYA,060100,1106,KAB. ACEH BESAR,060000,11,ACEH
060117,110615,KOTA JANTHO,060100,1106,KAB. ACEH BESAR,060000,11,ACEH
